id,field_model,parent_id,field_member_of,field_weight,title,file,field_description,field_resource_type,field_subject_general,field_identifier,field_edtf_date_issued,field_linked_agent,field_publisher,field_rights,media_use_tid,field_viewer_override,media:audio:field_track,media:video:field_track,thumbnail,service,fits,extracted,Supplemental_PDF
15,Image,5,,,Students at Orientation,Large Images/photoservices_461.tiff,"Photo caption: ""Orientation '89"".",Still Image,subject:Academic life,61220/utsc10501,1989,relators:pht:person:David Harford,,"Digital files found in the UTSC Library's Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. Prior written permission to publish, or otherwise use images and text found on the website must be obtained from the copyright holder. Please contact UTSC Library for further information.",http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Large Images/photoservices_461.tiff.thumbnail.jpg,Large Images/photoservices_461.tiff.service.jpg,Large Images/photoservices_461.tiff.fits.xml,Large Images/photoservices_461.tiff.extracted.txt,
16,Audio,8,,,Talking Drupal #309 - Media,Transcribed Audio/Transcribed_Audio_Sample_2/TalkingDrupal309_libsyn.mp3,Today we are talking about Media with Adam Globus-Hoenich and Sean Blommaert.,Sound,subject:Information and Knowledge Management,,2021,relators:ive:person:Sean Blommaert|relators:ive:person:Adam Globus-Hoenich|relators:hst:person:Nic Laflin|relators:hst:person:John Picozzi|relators:hst:person:Chad Hester,,"Copyright is owned by the publisher and was downloaded from <a rel=""license"" href=""https://www.talkingdrupal.com/309 "">Talking Drupal</a>. All rights reserved.",http://pcdm.org/use#OriginalFile|http://pcdm.org/use#ServiceFile,,Transcript:subtitles:en:Transcribed Audio/Transcribed_Audio_Sample_2/TalkingDrupal309-libsyn_AutoGeneratedCaption.vtt,,,Transcribed Audio/Transcribed_Audio_Sample_2/TalkingDrupal309_libsyn.mp3.service.mp3,Transcribed Audio/Transcribed_Audio_Sample_2/TalkingDrupal309_libsyn.mp3.fits.xml,,
17,Audio,8,,,Interview with Diane Hill,Transcribed Audio/Transcribed_Audio_Sample_1/Diane_HillOBJ.mp3,Learning about the barriers faced by a First Nations student while attending UTSC.,Sound,subject:Anti-colonialism|subject:Community|subject:Education|subject:Ethnicity|subject:Indigeneity|subject:Leadership|subject:Race,61220/utsc10788,2015-01-06,relators:res:person:Jennifer Lee|relators:ive:person:Diane Hill,Stories of UTSC,Participant consented to use of full name. Participant consented to use of photos. Participant consented to archiving. Participant consented to broadcast and reproduction of content. Consent form dated 6/1/2015.,http://pcdm.org/use#OriginalFile|http://pcdm.org/use#ServiceFile,,Transcript:subtitles:en:Transcribed Audio/Transcribed_Audio_Sample_1/Diane_HillTRANSCRIPT.vtt,,,Transcribed Audio/Transcribed_Audio_Sample_1/Diane_HillOBJ.mp3.service.mp3,Transcribed Audio/Transcribed_Audio_Sample_1/Diane_HillOBJ.mp3.fits.xml,,
18,Video,9,,,An excerpt from Noah Smith's presentation on Docker,Transcribed Video/Transcribed_Video_Sample_1/Noah Smith's Docker Session.mp4,"In the October 2021 Islandora Open Meeting, Born-Digital CEO Noah Smith gave this presentation on how to use Docker/ISLE.",Moving Image,subject:Islandora|subject:Docker,,,,,,http://pcdm.org/use#OriginalFile|http://pcdm.org/use#ServiceFile,,,Transcript:subtitles:en:Transcribed Video/Transcribed_Video_Sample_1/Noah Smith's Docker Session_AutoGeneratedCaption.vtt,Transcribed Video/Transcribed_Video_Sample_1/Noah Smith's Docker Session.mp4.thumbnail.png,Transcribed Video/Transcribed_Video_Sample_1/Noah Smith's Docker Session.mp4.service.mp4,Transcribed Video/Transcribed_Video_Sample_1/Noah Smith's Docker Session.mp4.fits.xml,,
19,Video,9,,,தொகுதி 1 - தொடக்கத்தில்,Transcribed Video/Transcribed_Video_Sample_2_Multilingual/Tamil_Video.mp4,,Moving Image,,,,,,,http://pcdm.org/use#OriginalFile|http://pcdm.org/use#ServiceFile,,,Transcript:subtitles:en:Transcribed Video/Transcribed_Video_Sample_2_Multilingual/Tamil_Video_TRANSCRIPT.vtt,Transcribed Video/Transcribed_Video_Sample_2_Multilingual/Tamil_Video.mp4.thumbnail.png,Transcribed Video/Transcribed_Video_Sample_2_Multilingual/Tamil_Video.mp4.service.mp4,Transcribed Video/Transcribed_Video_Sample_2_Multilingual/Tamil_Video.mp4.fits.xml,,
20,Image,6,,,"Rural Scene, Cardiagan, Prince Edward Island, Canada",Simple Images/2341.jpeg,"A coloured photograph depicting a rural scene of Cardiagan, Prince Edward Island.",Still Image,subject:Prince Edward Island -- Canada,,,,,,http://pcdm.org/use#OriginalFile,,,,Simple Images/2341.jpeg.thumbnail.jpg,Simple Images/2341.jpeg.service.jpg,Simple Images/2341.jpeg.fits.xml,,
21,Image,6,,,"Among the Big Guns, Camp Brighton, Charlottetown, Prince Edward Island, Canada",Simple Images/2416.jpeg,"A coloured photograph depicting various individuals among the Big Guns, Camp Brighton, Charlottetown, Prince Edward Island.",Still Image,subject:Prince Edward Island -- Canada,,,,,,http://pcdm.org/use#OriginalFile,,,,Simple Images/2416.jpeg.thumbnail.jpg,Simple Images/2416.jpeg.service.jpg,Simple Images/2416.jpeg.fits.xml,,
22,Image,6,,,"Seafarers Haven, Prince Edward Island, Canada",Simple Images/3360.jpeg,"A coloured photograph depicting Seafarers Haven, Prince Edward Island.",Still Image,subject:Prince Edward Island -- Canada,,,relators:pht:person:George Hunter,,,http://pcdm.org/use#OriginalFile,,,,Simple Images/3360.jpeg.thumbnail.jpg,Simple Images/3360.jpeg.service.jpg,Simple Images/3360.jpeg.fits.xml,,
23,Image,6,,,Farmers Bank of Rustico/La Banque de Rustico (1864-1894),Simple Images/3553.jpeg,A coloured photograph depicting the Farmers Bank of Rustico/La Banque de Rustico building.,Still Image,subject:Prince Edward Island -- Canada,,,relators:pht:person:J. Hermann,,,http://pcdm.org/use#OriginalFile,,,,Simple Images/3553.jpeg.thumbnail.jpg,Simple Images/3553.jpeg.service.jpg,Simple Images/3553.jpeg.fits.xml,,
24,Paged Content,2,,,Excerpt from 'Wild flowers of Western Canada',Books/Wildflowers_of_Western_Canada/Wildflowers_TN.png,Excerpt from 'Wild flowers of Western Canada' with 60 plates from original photographs by the William Copeland McCalla.,Collection,subject:Botany -- Canada|subject:Wild flowers -- Canada,ark:/13960/t7vn1tv4g,1920,relators:aut:person:William Copeland McCalla,,"Free eBook from the <a rel=""license"" href=""https://archive.org/details/wildflowersofwes00mccauoft/page/12/mode/2up "">Internet Archive</a>. ",http://pcdm.org/use#ThumbnailImage,,,,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca.pdf.fits.xml,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca.pdf.extracted.txt,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca.pdf
25,Page,24,,1,Page 1 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_001.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_001.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_001.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_001.jp2.fits.xml,,
26,Page,24,,2,Page 2 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_002.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_002.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_002.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_002.jp2.fits.xml,,
27,Page,24,,3,Page 3 of Wild flowers of Western Canada,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_003.jp2,,Text,,,,,,,http://pcdm.org/use#OriginalFile,OpenSeadragon,,,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_003.jp2.thumbnail.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_003.jp2.service.jpg,Books/Wildflowers_of_Western_Canada/wildflowersofwes0000mcca_Page_003.jp2.fits.xml,,
