id,field_pid,field_resource_type,field_model,field_member_of,parent_id,field_weight,title,field_local_identifier,field_genre,field_edtf_date_created,field_linked_agent,field_description_long,field_extent,field_rights,field_subject,field_geographic_subject,field_preferred_citation,field_use_and_reproduction,field_physical_storage_info,field_digital_obj_uri,field_archival_obj_refid,field_archival_obj_uri,field_campus,field_repository,field_unit,field_campus_unit_repository,field_display_hints,hocr,file
smith:1000208,smith:1000208,Text,Page,,smith:1000198,483,Page 483,smith_ssc_324_r219_m004_483,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000208/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000208/datastream/OBJ/view
smith:1000209,smith:1000209,Text,Page,,smith:1000198,482,Page 482,smith_ssc_324_r219_m004_482,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000209/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000209/datastream/OBJ/view
smith:1000210,smith:1000210,Text,Page,,smith:1000198,481,Page 481,smith_ssc_324_r219_m004_481,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000210/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000210/datastream/OBJ/view
smith:1000211,smith:1000211,Text,Page,,smith:1000198,480,Page 480,smith_ssc_324_r219_m004_480,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000211/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000211/datastream/OBJ/view
smith:1000212,smith:1000212,Text,Page,,smith:1000198,479,Page 479,smith_ssc_324_r219_m004_479,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000212/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000212/datastream/OBJ/view
smith:1000213,smith:1000213,Text,Page,,smith:1000198,478,Page 478,smith_ssc_324_r219_m004_478,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000213/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000213/datastream/OBJ/view
smith:1000214,smith:1000214,Text,Page,,smith:1000198,477,Page 477,smith_ssc_324_r219_m004_477,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000214/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000214/datastream/OBJ/view
smith:1000215,smith:1000215,Text,Page,,smith:1000198,476,Page 476,smith_ssc_324_r219_m004_476,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000215/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000215/datastream/OBJ/view
smith:1000216,smith:1000216,Text,Page,,smith:1000198,475,Page 475,smith_ssc_324_r219_m004_475,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000216/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000216/datastream/OBJ/view
smith:1000217,smith:1000217,Text,Page,,smith:1000198,474,Page 474,smith_ssc_324_r219_m004_474,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000217/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000217/datastream/OBJ/view
smith:1000218,smith:1000218,Text,Page,,smith:1000198,473,Page 473,smith_ssc_324_r219_m004_473,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000218/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000218/datastream/OBJ/view
smith:1000219,smith:1000219,Text,Page,,smith:1000198,472,Page 472,smith_ssc_324_r219_m004_472,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000219/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000219/datastream/OBJ/view
smith:1000220,smith:1000220,Text,Page,,smith:1000198,471,Page 471,smith_ssc_324_r219_m004_471,,,,,,,,,,,,,,,,,,,Mirador,https://compass.fivecolleges.edu/islandora/object/smith:1000220/datastream/HOCR/view,https://compass.fivecolleges.edu/islandora/object/smith:1000220/datastream/OBJ/view
